GRB        MVA
170817     0.210717
E264842    0.376936
E264930    0.310226
E265282    0.424587
E266096    0.398462
E269364    0.308532
E269496    0.304436
E269667    0.236015
E272290    0.208743
E272325    0.209991
E273104    0.170260
E273131    0.277206
E277236    0.350930
E278027    0.285675
E278188    0.193141
