GRB        MVA
170817     0.777880
E264842    1.142970
E264930    1.133150
E265282    1.364430
E266096    1.398620
E269364    1.165130
E269496    1.278990
E269667    1.098200
E272290    0.825071
E272325    0.842728
E273104    0.649108
E273131    1.119730
E277236    1.334520
E278027    1.129500
E278188    0.724980
