GRB        MVA
170817     4.46685
E264842        NaN
E264930    7.88045
E265282        NaN
E266096    9.77678
E269364    7.44379
E269496        NaN
E269667    8.14167
E272290    5.92552
E272325    6.46554
E273104    5.37984
E273131        NaN
E277236    9.80995
E278027    7.00224
E278188    3.96722
