GRB        X-pipeline
E264930    0.164736
E264842    0.168542
E265282    0.188137
E266096    0.188801
E269364    0.166489
E269496    0.160957
E269667    0.123639
E272290    0.111198
E272325    0.112330
E273104    0.084607
E273131    0.132360
E277236    0.205733
E278027    0.135410
E278188    0.091346
