GRB        X-pipeline
E264930    0.191675
E264842    0.203709
E265282    0.234318
E266096    0.235640
E269364    0.193885
E269496    0.195983
E269667    0.152043
E272290    0.129303
E272325    0.134914
E273104    0.113094
E273131    0.173624
E277236    0.258100
E278027    0.174373
E278188    0.123869
