GRB        MVA
170817     0.200357
E264842    0.371969
E264930    0.316200
E265282    0.540236
E266096    0.576373
E269364    0.339500
E269496    0.343569
E269667    0.215155
E272290    0.206687
E272325    0.204624
E273104    0.145901
E273131    0.215203
E277236    0.310626
E278027    0.211247
E278188    0.146543
