GRB        HRSS90
170817     6.709110e-23
E264842    1.371310e-22
E264930    9.980310e-23
E265282    1.519970e-22
E266096    1.382160e-22
E269364    9.839460e-23
E269496    9.673740e-23
E269667    8.806790e-23
E272290    6.626480e-23
E272325    6.679820e-23
E273104    6.141260e-23
E273131    9.396250e-23
E277236    1.272620e-22
E278027    9.371240e-23
E278188    6.410910e-23
