GRB        MVA
170817     0.942792
E264842    1.892300
E264930    1.423730
E265282    2.055900
E266096    1.820540
E269364    1.379330
E269496    1.370710
E269667    1.045790
E272290    0.933539
E272325    0.946811
E273104    0.698378
E273131    1.354510
E277236    1.437420
E278027    1.267380
E278188    0.821215
