GRB        X-pipeline
E264930    0.203406
E264842    0.204942
E265282    0.241813
E266096    0.246256
E269364    0.194688
E269496    0.190978
E269667    0.152071
E272290    0.128397
E272325    0.135551
E273104    0.104916
E273131    0.175868
E277236    0.288845
E278027    0.177597
E278188    0.119349
