GRB        MVA
170817     0.182356
E264842    0.262560
E264930    0.264207
E265282    0.323777
E266096    0.316200
E269364    0.266917
E269496    0.265102
E269667    0.216228
E272290    0.180452
E272325    0.184205
E273104    0.151761
E273131    0.243469
E277236    0.294084
E278027    0.243904
E278188    0.166610
