GRB        MVA
170817     0.109947
E264842    0.155476
E264930    0.158657
E265282    0.184820
E266096    0.183057
E269364    0.169098
E269496    0.163698
E269667    0.125479
E272290    0.111448
E272325    0.112380
E273104    0.084455
E273131    0.131297
E277236    0.177895
E278027    0.133333
E278188    0.091232
