significance,loghbayesiancirc,standard,circenergy,circinc,circnullenergy,circnullinc,powerlaw,energyitf1,energyitf2,skypositiontheta,skypositionphi,jobNumber,nPixels,peakTime,peakFrequency,minTime,minFreq,deltaTime,deltaFreq,injIdx,triggerIdx,uniqIdx,filename,injscale
81.0263, 81.0263, 279.8450, 247.1104, 147.7195, 32.7346, 132.1254, 93.1571, 97.7509, 182.0941, 1.3907, 0.7089, 0, 24, 1165173713.8788, 146.6483, 1165173699.5000, 142.7500, 27.0000, 8.5000, 66, 2, 23, 1, 10
1138.3605, 1138.3605, 2878.5025, 2691.8647, 1546.4792, 186.6378, 1332.0232, 639.2182, 1064.8546, 1813.6479, 1.3426, 0.7983, 0, 93, 1165173747.3742, 149.5680, 1165173727.5000, 137.7500, 40.0000, 24.0000, 78, 6, 24, 1, 10
201.5654, 201.5654, 660.4724, 604.5212, 361.0148, 55.9513, 299.4576, 182.5042, 218.8175, 441.6549, 1.3426, 0.7983, 0, 53, 1165173739.5312, 143.0734, 1165173711.5000, 135.7500, 57.0000, 15.5000, 86, 5, 25, 1, 10
49.3501, 49.3501, 193.7995, 160.8354, 99.6539, 32.9641, 94.1456, 60.5084, 83.1771, 110.6224, 1.3907, 0.7089, 0, 19, 1165173742.7009, 142.4476, 1165173731.5000, 139.2500, 23.0000, 6.0000, 91, 8, 26, 1, 10
58.5345, 58.5345, 217.6547, 186.0015, 142.6195, 31.6532, 75.0352, 48.7340, 58.6625, 158.9922, 1.2521, 0.9833, 0, 21, 1165173740.8633, 53.3613, 1165173734.7500, 45.5000, 10.5000, 16.0000, 93, 7, 27, 1, 10
24.9122, 24.9122, 89.6238, 78.9702, 49.4600, 10.6537, 40.1639, 30.2959, 32.4763, 57.1475, 1.2963, 0.8896, 0, 9, 1165173707.8971, 153.3521, 1165173703.5000, 151.7500, 9.0000, 3.0000, 96, 3, 28, 1, 10
1662.1750, 1662.1750, 4059.6006, 3841.3798, 2181.5941, 218.2208, 1878.0065, 681.1629, 1657.1624, 2402.4383, 1.2521, 0.9833, 0, 114, 1165173755.1536, 150.2207, 1165173736.5000, 138.7500, 40.0000, 25.0000, 99, 7, 29, 1, 10
92.6784, 92.6784, 303.1407, 276.5550, 166.0406, 26.5857, 137.1001, 90.4219, 106.3917, 196.7490, 1.2963, 0.8896, 0, 24, 1165173708.9980, 154.7121, 1165173700.5000, 151.2500, 17.0000, 7.0000, 102, 2, 30, 1, 10
189.0947, 189.0947, 739.3584, 605.6327, 411.7213, 133.7257, 327.6371, 281.3041, 257.7553, 481.6030, 1.2963, 0.8896, 0, 63, 1165173760.1315, 123.5093, 1165173756.3125, 58.0000, 5.8750, 168.0000, 107, 12, 31, 1, 10
602.4043, 602.4043, 1667.6107, 1530.2393, 925.3857, 137.3714, 742.2250, 422.7963, 559.2870, 1108.3237, 1.2963, 0.8896, 0, 77, 1165173768.7325, 149.8619, 1165173749.5000, 139.2500, 40.0000, 23.0000, 115, 10, 32, 1, 10
