GRB        MVA
170817          NaN
E264842    1.377670
E264930    1.236610
E265282    1.550510
E266096    1.431210
E269364    1.261090
E269496    1.238090
E269667    0.937540
E272290    0.829861
E272325    0.850138
E273104    0.634809
E273131    0.980120
E277236    1.328930
E278027    1.078610
E278188    0.730893
