GRB        MVA
170817     0.372147
E264842    0.519997
E264930    0.567649
E265282    0.638168
E266096    0.625043
E269364    0.563374
E269496    0.558294
E269667    0.433962
E272290    0.370117
E272325    0.381544
E273104    0.302800
E273131    0.477770
E277236    0.630283
E278027    0.518350
E278188    0.334204
