GRB        X-pipeline
E264930    0.843492
E264842    0.942321
E265282    1.069020
E266096    1.056150
E269364    0.844101
E269496    0.830080
E269667    0.650363
E272290    0.579255
E272325    0.607044
E273104    0.476627
E273131    0.812687
E277236    1.335360
E278027    0.787752
E278188    0.538326
