GRB        MVA
170817     0.130423
E264842    0.180419
E264930    0.185279
E265282    0.237973
E266096    0.227030
E269364    0.193528
E269496    0.192290
E269667    0.151641
E272290    0.130170
E272325    0.134272
E273104    0.111663
E273131    0.179514
E277236    0.228135
E278027    0.175237
E278188    0.123294
