GRB        MVA
170817     2.04207
E264842    4.84380
E264930    3.60699
E265282    4.47656
E266096    4.20905
E269364    2.87299
E269496    3.15031
E269667    2.71775
E272290    2.35193
E272325    2.45555
E273104    1.75566
E273131    3.07679
E277236    3.92592
E278027    2.72967
E278188    1.83498
