GRB        X-pipeline
E264930    0.563751
E264842    0.641454
E265282    0.642584
E266096    0.663747
E269364    0.573159
E269496    0.558370
E269667    0.451064
E272290    0.375618
E272325    0.386731
E273104    0.299567
E273131    0.489290
E277236    0.803864
E278027    0.510932
E278188    0.329548
