GRB        X-pipeline
E264930    0.272888
E264842    0.280687
E265282    0.328845
E266096    0.323121
E269364    0.268268
E269496    0.261531
E269667    0.202970
E272290    0.177434
E272325    0.184969
E273104    0.145102
E273131    0.245654
E277236    0.381372
E278027    0.243363
E278188    0.166709
